Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Asteraceae","Alchemilla","xanthochlora Rothm.","","","","","","Europe","08-1028s","02/03/2009","JB.Bremen (Allemagne)","B3 - Alpes Calcaires","","",""
"Rosaceae","Alchemilla","plicata Buser","","","","","","N.E. et centre Europe","10.93s","29/03/2011","J.B. du Tourmalet, Barèges (France)","B3 - Alpes Calcaires","","",""
"Boraginaceae","Alkanna Boiss.","graeca Spruner","","","","","","Grèce            Sud Balkans","08-393s","13/10/2010","JB. Jena (Allemagne)","C8 - Carpathes    Balkans","","",""
"Alliaceae","Allium","altaicum  Pall.","","","","","","Sibérie","05-1121s*","28/03/2008","JB.Göteborg (Suède)","D3A - Japon","","",""
"Liliaceae","Allium","altaicum Pallas","","","","","","E.Asie","87-1758s","","JB.Sverdlovsk (URSS)","C5 - Chaînes Pontiques","surtout cultivé","",""
"Liliaceae","Allium","altissimum","","","","","","","01-984s","06/11/2006","JB.Aschgabat (Turkménistan)","C5 - Chaînes Pontiques","","",""
"Liliaceae","Allium","angulosum L.","","","","","","Am. Bor; Sibérie","02-1687s*","27/03/2006","JB.et Museum de Berolino-Dahlem (Allemagne)","C4 - Am-du Nord","","",""
"Liliaceae","Allium","angulosum L.","","","","","","Centre et Europe, étendue à l' Est de la France, et Nord Italie.(région euro -  Sibérienne)","96-627s*","26/04/2001","JB.Munich (Allemagne)","B3 - Alpes Calcaires","Prairie humide, près d'un cours d'eau.","",""
"Liliaceae","Allium","angulosum L.","","","","","","Centre et Europe, étendue à l' Est de la France, et Nord Italie.(région euro -  Sibérienne)","98-942s","26/04/2001","JBU.Besançon (France)","B3 - Alpes Calcaires","Prairie humide, près d'un cours d'eau.","",""
"Liliaceae","Allium","ascalonicum L.","","","","","","","92-217s*","","JBU.Besançon (France)","B3 - Alpes Calcaires","","",""
"Alliaceae","Allium","caeruleum Pall.","","","","","","S.E. Russie Centre Asie","08-931s","13/10/2010","JB. Kiel (Allemagne)","D1 - Chine            Japon","","",""
"Liliaceae","Allium","caeruleum Pallas","","","","","","S.E.Russie","08-931s","02/03/2009","JB.Kiel (Allemagne)","E1 - Himalya","steppes","",""
"Liliaceae","Allium","carinatum L.","carinatum","","","","","Europe","02-1686s*","06/11/2006","JB.& Muséum de Dahlem (Allemagne)","B4 - Pyrénées Calcaires","Prairie","",""
"Liliaceae","Allium","cernuum Roth.","","","","","","Amérique boréale","00-672s","21/03/2003","JBU.Friedrich-Jena (Allemagne)","C4 - Am-du Nord","endroits rocailleux","",""
"Liliaceae","Allium","cyathophorum E. Bureau & A. Franchet","","","","","","Chine","96-628s","12/05/1998","JB.Munich (Allemagne)","D3 - Chine, Japon","","",""
"Alliaceae","Allium","decipiens Fisch.","","","","","","Asie temp., E. Europe","04-1026s*","28/03/2008","JB.Samara (Russie)","C5 - Chaînes Pontiques","","",""
"Liliaceae","Allium","flavum L.","flavum","","","","","Péninsule Ibérique","04-247s*","06/11/2006","JB.Vienne (Autriche)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Allium","flavum L.","","","","","","S.C.Europe sauf peninsule iberique","08-987s*","02/03/2009","JB.Bratislava (Slovakie)","B3 - Alpes Calcaires","","",""
"Liliaceae","Allium","flavum L.","","","","","","S.C.Europe-Russie","07-838s","02/03/2009","JB.Prague (Rép.Tchèque)","C8 - Carpates-Balkans","Lieux arides préférence calcaire","",""
"Liliaceae","Allium","ledebourianum Schuftes","","","","","","Russie","08-975s","02/03/2009","JB.Tomsk (Russie)","B6 - Caucase","","",""
"Liliaceae","Allium","moly L.","","","","","","E.Espagne  S.W.France","08-497s","13/10/2010","JB.Goteborg  (Suede)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Allium","pulchellum Don.","","","","",""," Europe","98-1830s","26/04/2001","JBU.Kosice (Slovaquie)","B3 - Alpes Calcaires","","","Allium senescens L."
"Liliaceae","Allium","rubens Schrad.","","","","","","Steppes de l'Oural","06-2267s","02/03/2009","JB.Barnaul (Russie)","B9 - Caucase","","",""
"Liliacae","Allium","senescens L .","","","","","","Centre et Sud d' Europe, et centre de la France, Sud de la Suède, et centre Ukraine.","97-2151s","12/07/1999","Acd.Sc. St Petersburg","B3 - Alpes Calcaires","habituellement dans un lieu rocheux et sec.","",""
"Liliaceae","Allium","senescens L .","","","","","","Centre et Sud d' Europe, et centre de la France, Sud de la Suède, et centre Ukraine.","96-1950s","12/05/1998","JBU.Besançon (France)","B3 - Alpes Calcaires","habituellement dans un lieu rocheux et sec.","",""
"Liliaceae","Allium","senescens L.","","","","","","Centre et Sud d' Europe, et centre de la France, Sud de la Suède, et centre Ukraine.","06-442s","06/11/2006","JBU.Vitebsk (Bielorussie)","C5 - Chaînes Pontiques","habituellement dans un lieu rocheux et sec.","",""
"Liliaceae","Allium","senescens L.(intro.sinescens L.)","montanum Holub.","","","","","Centre et Sud d' Europe (Balkans)","98-1730s","26/04/2001","JBU.Varsovie","B3 - Alpes Calcaires","habituellement dans un lieu rocheux et sec.","",""
"Liliaceae","Allium","sibericum L.","","","","","","","06-443s","06/11/2006","JBU.Vitebsk (Bielorussie)","B9 - Carpates-Balkans","","",""
