Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Cistaceae","Helianthemum","apenninum Mill.","","","","","","S. et W. Europe","10.478s","29/03/2011","Université Giessen (Allemagne)","E2 - Apennins","","",""
"Cistaceae","Helianthemum","canum Baumg.","canum","","","","","Centre et S-Europe","02-1428s*","08/03/2004","JB.Lausanne (Suisse)","B4 - Pyrénées Calcaires","Rocaille, pelouses sèches, calcaire","",""
"Cistaceae","Helianthemum","canum Boiss.","","","","","","Europ. As. Min","04-1218s","27/03/2006","J.Alp.U.Insbruck (Autriche)","B4 - Pyrénées Calcaires","","",""
"Cistaceae","Helianthemum","hybridum","","","","","","?","Anc.coll.","","","A10 - ","","",""
"Cistaceae","Helianthemum","ovatum Dun.","","","","","","?","97-415s*","12/07/1999","JB.Alp.Belverdere Wien. (Autriche)","B3 - Alpes Calcaires","","",""
"Cistaceae","Helianthemum","virgatum Pers.","","","","","","Espagne","08-728s","02/03/2009","JB.Leipzig (Allemagne)","C3 - Péninsule Ibérique","","",""
"Asteraceae","Helichrysum","cooperi Harv.","","","","","","Afr. Australe","10.283s*","29/03/2011","J.B Utrecht (Allemagne)","I1 - Nouvelle-Zélande","","",""
"Ranunculaceae","Helleborus","corsicus","","","","","","","anc.coll.","","","A9 - Alpes siliceuses","","",""
"Ranunculaceae","Helleborus","foetidus L.","","","","Ellébore fétide","","Sub-atlantique, méditerranéenne","00-855s*","08/03/2004","JBU.Siena (Italie)","C3 - Péninsule Ibérique","Pelouse calcaires","",""
"Renonculaceae","Helleborus","lividus Aiton","corsicus Tutin","","","","","Corse & Sardaigne","Anc.coll.","","","D1 - Chine, Japon","","",""
"Asteraceae","Helychrisum","italicum G.Don","serotinumP. Fourn.","","","","","S.W. Europe","10.426s*","29/03/2011","Université de Gent (Belgique)","C3 - Péninsule Ibérique","Calcaire, sec","",""
"Liliaceae","Hemerocalis","lilioasphodelus L.","","","yezoensis","","","Japon-Siberie","07-1637s","02/03/2009","JB.Hokkaido (Japon)","D3A - Chine, Japon","","",""
"Hemerocallidaceae","Hemerocallis","altissima Stout","","","","","","Chine","10.541s","29/03/2011","J. alpin la Ramberta, Montreux (Suisse)","D1 - Chine, Japon","","",""
"Liliaceae","Hemerocallis","citrina Baroni","","","vespertina W. Erhardt","","","?","96-1040s","12/05/1998","JBU.Tohoku (Sendai)","D3B - Chine, Japon","","",""
"Liliaceae","Hemerocallis","dumortierii  C.Morr.","","","","","","Japon","96-1391s","12/05/1998","JB.Turku (Finlande)","D3B - Chine, Japon","","",""
"Liliaceae","Hemerocallis","dumortierii  C.Morr.","","","excelsa","","","?","98-1520s*","26/04/2001","JBU.Tohoku (Sendai)","D3B - Chine, Japon","","",""
"Liliaceae","Hemerocallis","exaltata Stout.","","","","","","Japon","92-1881s","","JBU.Tohoku (Sendai)"," - ","","",""
"Liliaceae","Hemerocallis","hybrida x Hort.","","Varsity","","","","?","Anc.coll.","","","A10 - ","","",""
"Hemerocallidaceae","Hemerocallis","lilio-asphodelus  L.","","","","","","Europ.; Asie","07-79s","28/03/2008","JB.Irkutsk (Russie)","D3C - Japon","","",""
"Liliaceae","Hemerocallis","middendorffii Trautv. & Mey.","","","","","","Japon.; N-Chine","Anc.coll.","","","A10 - ","","",""
"Liliaceae","Hemerocallis","sp.","","","","","","","Anc.coll.","","","G2 - Australie","","",""
"Liliaceae","Hemerocallis","","","","","","","","Anc.coll.","",""," - ","","",""
"Apiaceae","Heracleum","sonowskyi Manden.","","","","","","Caucase","05-2177s","13/10/2010","Inst. Hodowli Roslin (Pologne)","B6 - Caucase","","",""
"Brassicaceae","Hesperis","sibirica L.","","","","","","","05-2229s","06/11/2006","JB.Irkutsk (Russie)","C9 - Carpates-Balkans","","",""
"Saxifragaceae","Heuchera","americana L.","","","","","","Amérique boréale","88-905s","","JB.Framingham (USA)","C4 - Am-du Nord","","",""
"Saxifragaceae","Heuchera","americana L.","","","hispida E.F. Wells","","","?","90-2940s bis","","Réserve Bowman's Hill (U.S.A.)","A10 - ","","",""
"Saxifragaceae","Heuchera","americana L.","","","","","","N. Am.","10.87s","29/03/2011","Département recreati, Antwerpen (Pays Bas)","C4 - Am-du Nord","","",""
"Saxifragaceae","Heuchera","himalayensis","","","","","","?","10.405s","29/03/2011","J.B. Graz (Autriche)","E1 - Himalaya","","",""
"Asteraceae","Hieracium","alpinum L.","","","","","","N & C-Europe","00-1086s*","21/03/2003","Musée Botanique de Kristiansand","B3 - Alpes Calcaires","Rochers, éboulis (silice)","",""
"Asteraceae","Hieracium","bupleuroides Bellarf ex Wild","","","","","","Norveg.","05-1037s","27/03/2006","JB.Stadt Krefeld (Allemagne)","B3 - Alpes Calcaires","","",""
"Asteraceae","Hieracium","pannosum Boiss.","bornmuelleri Zahn","","","","","?","98-26s","19/04/2000","JB.Oberhof (Allemagne)","B9 - Carpates-Balkans","","",""
"Asteraceae","Hieracium","rohacsense Kit.","","","","","","Nord et C-Europe","02-770s*","08/03/2004","JBU.Kosice (Slovaquie)","C9 - Carpates-Balkans","","",""
"Asteraceae","Hieracium","sparsifolium Lindb.","","","","","","Europe-Alpes","08-466s*","02/03/2009","JB.Reykjavik (Islande)","B3 - Alpes Calcaires","","",""
"Asteraceae","Hieracium","staticifolium All.","","","","","","Alpes","05-1856s","06/11/2006","JB.Bern (Suisse)","B3 - Alpes Calcaires","","",""
"Asteraceae","Hieracium","villosum Jacq.","","","","","","Europe","05-1859s","06/11/2006","JB.Bern (Suisse)","B3 - Alpes Calcaires","","",""
"Asteraceae","Hieracium","virosum Pall.","","","","","","S.E.Europe","07-1853s*","02/03/2009","JB.Rostov ad Donum (Russie)","C8 - Carpates-Balkans","","",""
"Asteraceae","Hieracium","sparsifolium Lindeb.","","","","","","Europe","08-466s*","13/10/2010","JB. Göteborg (Suède)","B3 - Alpes","","",""
"Lamiaceae","Horminium","pyrenaicum L.","","","","","","Europe australe","96-3204p*","12/05/1998","Huesca (Espagne)","B3 - Alpes Calcaires","","",""
"Lamiaceae","Horminum","pyrenaicum  Georgi","","","","","","Alpes, Pyrénées","10.482s","29/03/2011","Université Giessen (Allemagne)","B4 - Pyrénées Calcaires","","",""
"Lamiaceae","Horminum","pyrenaicum  Georgi","","","","","","Alpes, Pyrénées","10.542s","29/03/2011","J. alpin la Ramberta, Montreux (Suisse)","C3 - Am-du Nord","","",""
"Lamiaceae","Horminum","pyrenaicum  Georgi","","","","","","Alpes, Pyrénées","10.409s*","29/03/2011","J.B Erlangen (Pays Bas)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Hosta","fortune L.H. Bailey","","Morheim","","","","Obtention horticole","90-1347p","","Ets.Renaud Goron","C2 - ","","",""
"Liliaceae","Hosta","fortune L.H. Bailey","","Lemon Lime","","","","Obtention horticole","90-1348p","","Ets.Renaud Goron","C2 - ","","",""
"Liliaceae","Hosta","fortune L.H. Bailey","","Golden Tiara","","","","Obtention horticole","90-1350p","","Ets.Renaud Goron","C2 - ","","",""
"Liliaceae","Hosta","fortune L.H. Bailey","","Albo picta","","","","Japon","Anc.coll.","","","D1 - Chine, Japon","","",""
"Liliaceae","Hosta","montana F.Maekawa.","","","","","","Japon","92-1885s","","Ets.Lepage","D3G - Chine, Japon","","",""
"Liliaceae","Hosta","sieboldiana Engl.","","","","","","Japon","94-2392s","12/05/1998","JB.Harrogate (Angleterre)","D3G - Chine, Japon","","",""
"Liliaceae","Hosta","sp.","","","","","","Chine, Japon","05-2844s","06/11/2006","JBU.Matsudo (Japon)","D1 - Chine, Japon","","",""
"Liliaceae","Hosta","ventricosa Stearn","","","","","","O-Asie","91-454 s","","JB.Nanjingensis (Chine)","D3C - Chine, Japon","","",""
"Saururaceae","Houttuynia","cordata Thunb.","","","","","","Himalaya.; chine.; Japon","89-841s","","J.Alp.Meyrin (Suisse)","D1 - Chine, Japon","","",""
"Brassicaceae","Hugueniania","tanacetifolia Rchb.","","","","","","Alpes& Pyrénnées","08-582s","02/03/2009","JB.Munich (Allemagne)","B3 - Alpes Calcaires","","",""
"Liliaceae","Hyacinthoides","hispanica Rothm.","","","","","","Moitié Ouest de la Péninsule Ibérique, souvent naturalisé ailleurs, s'hybride fréquemment","anc. coll.","","","C3 - Péninsule Ibérique","","",""
"Liliaceae","Hyacinthoides","italica Rothm","","","","","","Péninsule Ibérique","99-1504s","06/11/2006","JB.Porto (Portugal)","E2 - Apennins","","",""
"Liliaceae","Hyacinthus","orientalis L.","","","","","","Region Medit.(Sud Ouest Asie)","08-502s","13/10/2010","JB.Goteborg  (Suede)","C3 - Péninsule Ibérique","","",""
"Liliaceae","Hyacinthus","orientalis L.","chionophilus Wendelbo","","","","","Turquie","05-1897s","13/10/2010","JB. Wurzburg (Allemagne)","C5 - Asie Mineure","","",""
"Crassulaceae","Hylotelephium","jullianum Grulich","","","","","","République Tchèque","06-550s","06/11/2006","JB.Olomouc (République Tchèque)","C8 - Carpates-Balkans","","",""
"Clusiaceae","Hypericum","cerastoides N.K.B. Robson","","","","","","Sud-ouest Balkans","07-1597s","13/10/2010","JB. Chemnitz (Allemagne)","C8 - Carpathes    Balkans","","",""
"Hypericaceae","Hypericum","henryi Leveille & Vaniot","","","","","","China","05-1019s","27/03/2006","JB.The Kyoto (Japon)","D1 - Chine, Japon","","",""
"Guttiferae","Hypericum","oblongifolium Choisy","","","","","","Himalaya","98-448s","12/07/1999","J.Alp.U.Insbruck (Autriche)","E3 - ","","cernuum",""
"Asteraceae","Hypochaeris","uniflora Vill.","","","","","","W. Ukraine, subalpin","10.389s*","29/03/2011","J.B. Kosice (Slovaquie)","B8 - Caucase","","Trommsdorffia uniflora Sojak",""
"Lamiaceae","Hyssopus","officinalis L.","canescens","","","","","Europ.; As.temp","05-1672s","28/03/2008","JB.Vacatrot (Hongrie)","C3 - Péninsule Ibérique","","",""
"Brassicaceae","Iberis","sempervirens L.","","","","","","Régions méditerranéennes dont Pyrénées, cultivé ou naturlisé ailleurs","02-229s","08/03/2004","JBU.Zürich (Suisse)","C3 - Péninsule Ibérique","Rochers, éboulis surtout calcaires","",""
"Brassicaceae","Iberis","sempervirens L.","","","","","","Europe australe.; Asie Minor","Anc.coll.","",""," - ","","",""
"Cruciferae","Iberis","sempervirens L.","","","","","","","Anc.coll.","","","A10 - ","","",""
"Balsaminaceae","Impatiens","glandulifera Royle","","","","","","Europe","Anc.coll.","","","G2 - Australie","","",""
"Bignoniaceae","Incarvillea","mairei Grierson","","","","","","Tibet-Nepal-Chine","08-633s","02/03/2009","JB.Bergen (Norvège)","D1 - Chine, Japon","","",""
"Bignoniaceae","Incarvillea","olgae Regel","","","","","","Kokania","07-888s","28/03/2008","JB.Abor. Zemedelta (Rép.Tchèque)","C3 - Caucase","","",""
"Bignoniaceae","Incarvillea","olgae Regel.","","","","","","Turkestan","05-1880s","06/11/2006","JB.Jean Michel Spas (France)","C8 - Carpates-Balkans","","",""
"Bignoniaceae","Incarvillea","delavayi Bur.et Franch","","","","","","Chine","10-62s","29/03/2011","Université de Postdam (Allemagne)","D1 - Chine, Japon","","",""
"Asteraceae","Inula","ensifolia  L.","","","","","","Europ.austr.; Rég.Cauc","06-1569s*","28/03/2008","JB.Ljubljani (Slovénie)","B6 - Caucase","","",""
"Astaraceae","Inula","ensifolia L.","","","","","","Europe-Caucase","07-1727s","02/03/2009","Universitée de Lublin (Pologne)","B4 - Caucase","","",""
"Asteraceae","Inula","magnifica Lipsky","","","","","","Japon","97-1086s","","JB.d'Akureyri ( Islande)","D3C - Chine, Japon","Tourbe","","Ligularia hodgsonii Hook."
"Asteraceae","Inula","montana L.","","","","","","Région méditerranéenne, extension vers C.O. en France & Italie","05-2863s*","06/11/2006","JB.d'Aquila (Italie)","B3 - Alpes Calcaires","Endoits secs (calcicole)","",""
"Asteraceae","Inula","oculus-cristi L.","","","","","","Europe-Russie","07-1727s","02/03/2009","JB.Lublin (Pologne)","B9 - Carpates-Balkans","","",""
"Iridaceae","Iris","bulleyana Dykes.","","","","","","W.Chine","08-505s","02/03/2009","JB.Göteborg (Suède)","D1 - Chine, Japon","","",""
"Iridaceae","Iris","cengialti Ambrosi","","","","","","Italie","05-46s*","06/11/2006","JB.Trieste (Italie)","C3 - Péninsule Ibérique","","",""
"Iridaceae","Iris","chamaeiris Bertol.","","","","","","Europe australe","96-1526s*","12/05/1998","Mr.Figureau C.","B3 - Alpes Calcaires","","",""
"Iridaceae","Iris","chrysographes L.","","","","","","Chine, Japon","06-390s","28/03/2008","JB.Göteborg (Suède)","D1 - Japon","","",""
"Iridaceae","Iris","douglasiana Herb.","","","","","","Amérique boréale occidentale","84-513s","","JBU.Berkeley (USA)","C4 - Am-du Nord","","",""
"Iridaceae","Iris","ensata Thunb.","","","spontanea","","","Himalaya, Asie boréale","01-753s*","27/03/2006","JBU.Hokkaido (Japon)","E1 - Himalaya","","",""
"Iridaceae","Iris","graminea L.","","","","","","Europe australe","08-263s","13/10/2010","JB. Graz (Autriche)","B3 - Alpes","","",""
"Iridaceae","Iris","imbricata Lindl.","","","","","","Caucase","86-660s","","JB.Téhéran (Iran)","B6 - Caucase","","flavescens",""
"Iridaceae","Iris","kaempferi Siebold. ex Mem.","","","","","","Sibérie.; Japon","Anc.coll.","","","B5 - ","","laevigata",""
"Iridaceae","Iris","kaempferi Siebold. ex Mem.","","","","","","Sibérie.; Japon","Anc.coll.","","","C7 - Pyrénées siliceuses","","laevigata",""
"Iridaceae","Iris","laevigata Fisch.","","","","","","Sibérie.; Japon","anc. coll.","","","C7 - Pyrénées siliceuses","","",""
"Iridaceae","Iris","missouriensis Nutt.","","","","","","USA (Collorado)","04-1102s","28/03/2008","J.Alp.Montreux (France)","C4 - Am-du Nord","","",""
"Iridaceae","Iris","pseudacorus L.","","","","","","Europe.; Asie orientale","Anc.coll.","","","E2 - Apennins","","",""
"Iridaceae","Iris","pseudopallida Trinajstic","","","","","","Croatie","07-1147s*","13/10/2010","JB. Zagreb (Croatie)","C8 - Carpathes    Balkans","","",""
"Iridaceae","Iris","sanguinea Hornem.","","","","","","Afrique australe","93-195s","","JB.Nanjingensis (Chine)","A3 - ","","",""
"Iridaceae","Iris","sanguinea Hornem.","","","","","","Afrique australe","95-2946s","12/05/1998","JBU.Hokkaido (Japon)","A3 - ","","",""
"Iridaceae","Iris","setosa Pall.","","","","","","Japon et Ouest de la Sibérie","03-1392s*","27/03/2006","BG Hokkaido University","D1 - Chine, Japon","Soleil et sol sec","",""
"Iridaceae","Iris","setosa Pall.","","","","","","Sibérie","02-938s*","27/03/2006","JB.Montréal (Canada)","D1 - Chine, Japon","","",""
"Iridaceae","Iris","sibirica L.","","","","","","Europe,  Asie boréale","02-1169s","27/03/2006","JB.Chemnitz (Allemagne)","D1 - Chine, Japon","","",""
"Iridaceae","Iris","sibirica L.","","","","","","Europe.; Asie boréale","84-471sA","26/04/2001","Mr.Corbineau","A10 - ","Prairie humide.","",""
"Iridaceae","Iris","sintenisii Janka","sintenisii","","","","","Turquie","03-992s","27/03/2006","JBU.Utrecht (Hollande)","C5 - Chaînes Pontiques","","",""
"Iridaceae","Iris","sp.","","","","","","","Anc.coll.","","","C7 - Pyrénées siliceuses","","",""
"Iridaceae","Iris","sp.","","","","","","","08-472s","02/03/2009","JB.Graz (Autriche)","B3 - Alpes Calcaires","","",""
"Iridaceae","Iris","taochia D. Kramb","","","","","","NE Turquie","03-1191s","27/03/2006","J.Alp.Graz (Autriche)","C5 - Chaînes Pontiques","","",""
"Iridaceae","Iris","tenax Dougl.","","","","","","Amérique boréale occidentale","03-1447s*","27/03/2006","Washington Park Arboretum University","C4 - Am-du Nord","","",""
"Iridaceae","Iris","tenax Douglas","","","","","","Am. Boréale occ.","01-1444s*","27/03/2006","BG Washington Park arboretum","C5 - Am-du Nord","","",""
"Iridaceae","Iris","versicolor L.","","","","","","Amérique boréale","02-937s*","27/03/2006","JB.Montréal (Canada)","C4 - Am-du Nord","","",""
"Iridaceae","Iris","versicolor L.","","","","","","Amérique","89-1844s*","","JB.Framingham (USA)","C4 - Am-du Nord","","",""
"Iridaceae","Iris","versicolor L.","","","","","","Amérique","85-1221s","","Université Bot. Toronto (Canada)","A10 - ","","",""
"Iridaceae","Iris","xiphium Desf.","","","lusitanica Franco","","","Péninsule ibérique","05-1898s","13/10/2010","JB. Wurzburg (Allemagne)","C3 - Péninsule Ibérique","","",""
"Iridaceae","Iris","ensata Thunb.","","","","","","Reg. Himal.,As. Bor","10-272s*","29/03/2011","J.B. Utrecht (Allemagne)","E1 - Himalaya","","",""
"Iridaceae","Iris","milesii Baker ex Foster","","","","","","Reg. Himal.","03-731s","27/03/2006","JB.Timaru (N-Zélande)","E1 - Himalaya","","",""
"Iridaceae","Iris","missouriensis M. Martens","","","","","","=U.S.A (Missouri)","01-1454s*","27/03/2006","Park et Arboretum de l'université de Washington USA","C4 - Am-du Nord","","",""
"Iridaceae","Iris","sanguinea Donn.","","","","","","N. Am.","10.72s*","29/03/2011","Université de Postdam (Allemagne)","C4 - Am-du Nord","","",""
"Asteraceae","Ixeres","repens A.Gray","","","","","","","07-1839s","02/03/2009","Institut biomédical de Tsukuba (Japon)","D1 - Chine, Japon","","",""
"Ixioliriaceae","Ixolirion","tataricum Herb.","","","","","","Kazakhstan","08-508s*","13/10/2010","JB. Göteborg (Suède)","B9 - Caucase","","",""
"Solanaceae","Jaborosa","integrifolia Lam.","","","","Jaborose à feuilles entières","","Amérique du Sud, S-Brésil, Uruguay, Argentine, Andes) jusqu'à 500m d'altitude.","anc.coll.","","","C3 - ","","",""
"Acanthacées","Jacobinia","sp.(5 pieds)","","","","","","","02-652b*","",""," - ","","",""
"Crassulaceae","Jovibarba","hirta Opiz.","","","","","","C-Europe & NO-Balkan","95-1984s*","21/04/1998","JBU.Riga (Lettonie)","A3 - ","","Sempervivum hirtum",""
"Crassulaceae","Jovibarba","sobolifera Opiz","","","","","","Centre & E-Europe.; E-Carpathe","96-1531s","12/05/1998","JB.Libérec (Tchècoslovaquie)","A2 - ","","Sempervivum soboliferum",""
"Juncacea","Juncus","marginatus  Rostk","","","","","","Pennsylvanie","06-1204s*","28/03/2008"," JB.Brooklin (USA)","C4 - Am-du Nord","","",""
"Asteraceae","Kalimeris","pinnatifida Kitam","","","","","","Japon","07-1846s","02/03/2009","Institut biomédical de Tsukuba (Japon)","D3A - Chine, Japon","","",""
"Malvaceae","Kitaibela","vitifolia Willd.","","","","","","Yougoslavie","10.113s","29/03/2011","J.B. Zurich (Suisse)","C8 - Carpates-Balkans","","",""
"Dipsacaceae","Knautia","midzorensis Form.","","","","","","Balkans","07-1242s","02/03/2009","JB.Sofia (Bulgarie)","B9 - Carpates-Balkans","","",""
"Asphodelaceae","Kniphofia","caulescens Baker","","","","","","Afr.Australe","07-429s","28/03/2008","JB.Munich (Allemagne)","G1 - Australie","","",""
"Liliaceae","Kniphofia","galpini Baker","","","","","","Afrique australe","89-923s","","Mr.Bouet","E2 - Andes","","","galpinii"
"Asphodelaceae","Kniphofia","hirsuta  Codd","","","","","","Lesotho","07-425s","28/03/2008","JB.Munich (Allemagne)","G1 - Australie","","",""
"Aloaceae","Kniphofia","hirsuta Codd","","","","","","Lesotho","03-847s","27/03/2006","BG Munich","G2 - Australie","","",""
"Asphodelaceae","Kniphofia","morthiae Baker","","","","","","Afrique du Sud","10.279s*","29/03/2011","J.B Utrecht (Allemagne)","G1 - Australie","","",""
"Liliaceae","Kniphofia","nelsoni Mast.","","","","","","Afrique australe","94-3126s","12/05/1998","JBU.Francfort (Allemagne)","E2 - Andes","","","nelsonii"
"Liliaceae","Kniphofia","pumila Kunth","","","","","","Afrique australe","96-584s","12/05/1998","Mr.Boff B.","E2 - Andes","","",""
"Liliaceae","Kniphofia","schimperi Baker.","","","","","","?","96-585s","12/05/1998","Mr.Boff B.","E2 - Andes","","",""
"Liliaceae","Kniphofia","triangularis Kunth.","","","","","","Afr.du Sud","08-636s","02/03/2009","JB.Bergen (Norvège)","G1 - Australie","","",""
"Liliaceae","Kniphofia","tuckii Back.","","","","","","Afrique australe","87-550s","","Grugapark Essen (Allemagne)","E2 - Andes","","",""
"Liliaceae","Kniphofia","uvaria Oken","","","","","","Sud Afr.","08-771s","02/03/2009","JB.Pruhonice (Rep.Tchèque)","G1 - Australie","","",""
"Poaceae","Koeleria","vallesiana Gaudin","","","","","","O-Europe.; SO-Angleterre.; Nord Apennin (Italie)","99-724s*","26/04/2001","JBU.Neuchâtel (Suisse)","B3 - Alpes Calcaires","Prairie sèche et lieux rocheux; calcaire.","",""
"Asteraceae","Krigia","biflora Blake","","","","","","USA","08-1178s*","13/10/2010","JB.Brooklyn  (USA)","C4 - Amérique du Nord","","",""
"Apiaceae","Kundmannia","sicula DC.","","","","","","Reg. Med.","10.550s","29/03/2011","J.B. Lyon (France)","C3 - Péninsule Ibérique","","",""
"Lamiaceae","Lamium","galeobdolon Crantz","","","","","","Europe","Anc.coll.","","","C3 - Péninsule Ibérique","","",""
"Orobanchaceae","Lathraea","clandestina L.","","","","Clendestine","","O-Europe, partie Belgique et N-Espagne, C- et S-Italie","Anc.coll.","","","I4 - ","Bord des ruisseaux, lieux ombragés, surtout sur Peupliers et Saules.","",""
"","Lavandula","stoechas L.","","","","","","Régions méditerranéennes","03-2238s","27/03/2006","Estaçao Agronomica Nacional et Geobotanica deOeiras (Portugal)","C3 - Péninsule Ibérique","","",""
"Asteraceae","Leontodon","hispidus L.","hispidus","","","","","Europe sauf Island","07-1729s","02/03/2009","JB.Lublin (Pologne)","C7 - Pyrénées siliceuses","","",""
"Asteraceae","Leontodon","pyrenaicus  Gouan.","danubialis Simonkai","","","","","SC-France et O-Yougoslavie","96-3261s*","12/07/1999","J.Alp.Courmayeur","B4 - Pyrénées Calcaires","Soleil et sol sec","",""
"Liliaceae","Leopoldia","comosa Parl.","","","","","","Appennin","99-1279s*","06/11/2006","JB.d'Aquila (Italie)","E2 - ","","",""
"","Leucanthemum","atratum DC.","","","","","","Europe","03-1209s*","27/03/2006","J.Alp.Graz (Autriche)","B3 - Alpes Calcaires","","",""
"Asteraceae","Leucanthemum","coronopifolium Vill.","tenuifolium Vogt&Greuter","","","","","","06-1388s*","28/03/2008","JB.Peligni (Italie)","B3 - Alpes calcaires","","",""
"Asteraceae","Leucanthemum","cuneifolium Le Grand","","","","","","S.E. France","08-1194s*","13/10/2010","J. Alpin du Lautaret        (France)","B4 - Pyrénnées","","",""
"Asteraceae","Leucanthemum","margaritae Soo","","","","","","Europe centrale","08-840s*","02/03/2009","JB.Prague (Rép.Tchèque)","C8 - Carpates-Balkans","","",""
"","Leucanthemum","monspeliense Coste","","","","","","Europe","02-1738s","27/03/2006","Conservatoire Botanique Pierre Fabre","B4 - Pyrénées Calcaires","","",""
"Asteraceae","Leucanthemum","praecox Horv.","","","","","","","05-2178s","06/11/2006","JB.Bydgoszcz (Pologne)","B6 - Caucase","","",""
"Asteraceae","Leuzea","conifera DC","","","","","","W. Reg. Med., Portugal","10.239s","29/03/2011","J.B. Innsbruck (Autriche)","C3 - Péninsule Ibérique","milieux secs","Centaurea conifera L.",""
"Asteraceae","Leuzea","cynaroides G. Lopez Gonzalez","","","","","","?","97-1190s","12/07/1999","J.Alp.Meyrin (Suisse)","E2 - Apennins","","",""
"Asteraceae","Liatris","scariosa Wild.","","","","","","Am. Bor","05-1038s","27/03/2006","JB.Krefeld (Allemagne)","C5 - Am-du Nord","","",""
"Asteraceae","Liatris","spicata Willd.","","","","","","U.S.A.","99-415s*","26/04/2001","JBU.East Lansing (USA)","C4 - Am-du Nord","","",""
"Apiaceae","Libanotis","sibirica  C.A.Mey.","montana P.W.Ball","","","","","W. & C. Europe","06-1573s*","28/03/2008","JB.Ljubljani (Slovénie)","B4 - Caucase","","",""
"Liliaceae","Libertia","grandiflora Sweet","","","","","","Nouvelle-Zélande","94-4937s","12/05/1998","JB.Christchurch","I1 - Nouvelle-Zélande","","",""
"Iridaceae","Libertia","grandiflora Sweet","","","","","","Nouvelle-Zélande","02-1117s","08/03/2004","JB.St Andrews (Ecosse)","I1 - Nouvelle-Zélande","","",""
"Iridaceae","Libertia","ixioides Spreng.","","","","","","N.Zel","10.109s","29/03/2011","J.B. Zurich (Suisse)","I1 - Nouvelle-Zélande","","",""
"Asteraceae","Ligularia","dentatum","","","","","","Amérique nord","anc.coll.","",""," - ","","",""
"Asteraceae","Ligularia","hodgsoni Hook.f.","","","sutchuensis","","","Chine, Setchuan","02-783s","27/03/2006","Kunming Botanical Garden","D1 - Chine, Japon","","",""
"Asteraceae","Ligularia","przewalskii Diels.","","","","","","Chine","86-3874p","","Ets.Lepage","D3 - Chine, Japon","","",""
"Asteraceae","Ligularia","stenocephalum","","","","","","?","86-3897p","","Ets.Lepage"," - ","","",""
"Apiaceae","Ligusticum","hultenii Fernald","","","","","","Alaska; Kamchatcka; Japon","03-1389s*","27/03/2006","JBU.Sapporo (Japon)","D1 - Chine, Japon","","",""
"Apiaceae","Ligusticum","hultenii Fernald","","","","","","Alaska, Japon","08-480s","02/03/2009","JB.Göteborg (Suède)","D3A - Chine, Japon","","",""
"Apiaceae","Ligusticum","lucidum Mill.","","","","","","Montagnes S-Europe dont Pyrénées","01-722s*","08/03/2004","JBU.de Martin-Luther Amkirchtor (All.)","C3 - Péninsule Ibérique","Pentes rocailleuses calcaires","",""
"Liliaceae","Lilium","auratum Lindl.","","","","","","Japon","07-1676s*","13/10/2010","Univ. Chiba Matsudo (Japon)","D1 - Chine            Japon","","",""
"Liliaceae","Lilium","carniolicum Bernh.","","","","","","Europe australe","01-1105s*","06/11/2006","JB.Ljubljani (Slovénie)","B8 - vérifier la rocaille","","",""
"Liliaceae","Lilium","columbianum Hort.","","","","","","Amérique boréale occidendale","92-1325s*","","JB.Coloumbia Vancouver (Canada)"," - ","","",""
"Liliaceae","Lilium","formosanum A.Wallace","","","","","","Japon-Chine","07-1678s","02/03/2009","JB.Matsudo (Japon)","D1 - Chine, Japon","","",""
"Liliaceae","Lilium","formosanum Wallace","","","","","","Iles Formose (Taïwan)","05-2845s*","06/11/2006","JBU.Matsudo (Japon)","D1 - Chine, Japon","","",""
"Liliaceae","Lilium","henryi Baker","","","","","","Chine","05-1889s","06/11/2006","JB.& Arboretum de Brno (Rép.Tchèque)","D1 - Chine, Japon","","",""
"Liliaceae","Lilium","longiflorum Thunberg","","","scabrum Masamune","","","Taïwan, Taipei","04-268s","06/11/2006","JBU.Gent (Belgique)","D1 - Chine, Japon","","",""
"Liliaceae","Lilium","pumilum Del.","","","","","","Russie","06-412s","06/11/2006","JB.Göteborg (Suède)","B8 - vérifier la rocaille","","",""
"Plumbaginaceae","Limonium","anfractum","","","","","","","06-416s*","","JB.Zagreb (Croatie)","C9 - Carpates-Balkans","","",""
"Plumbaginaceae","Limonium","anfractum Salmon","","","","","","Balkan","06-416s","28/03/2008","JB.Zagreb (Croatie)","C8 - Carpates-Balkans","","",""
"Plumbaginaceae","Limonium","latifolium O.Kuntze","","","","","","SE-Europe., E-Bulgarie.; SE-Russie","Anc.coll.","","","A10 - ","","",""
"Plumbaginaceae","Limonium","meyeri O.Kuntze","","","","","","Sud & E-Ukraine.; SE-Russie","96-977s*","12/05/1998","JBU.Berlin Dahlem (Allemagne)","C5 - Chaînes Pontiques","","",""
"Plumbaginaceae","Limonium","multiforme Pignatti","","","","","","W.C. Italie","10-118s*","29/03/2011","J.B. Sienna (Italie)","E2 - Apennins","","",""
